living_space,price_per_unit,bathroom_number,property_type,furnished,state,built_year,latitude,land_space,premium,bedroom_number,price,address,longitude,tenure,district,price_usd,price_per_unit_usd
30.3,130000,1,Condo,,Phuket,2022.0,8.028937170548243,,0,,3939000,"147 Moo 6, Choeng Thale, Thalang, Phuket",98.295040268494,Freehold,Choeng Thale,115853.0,3824.0
447.0,14724,4,Detached House,Partially Furnished,Phuket,,7.9014375,944.0,0,6,13900000,"ถนนบางทอง, Kathu, Kathu, Phuket",98.3302031,Freehold,Kathu,408824.0,433.0
45.4,130000,1,Condo,,Phuket,,8.0289375,,1,1,5902000,"Choeng Thale, Thalang, Phuket",98.2950625,Freehold,Choeng Thale,173588.0,3824.0
34.88,65940,1,Condo,Fully Furnished,Phuket,2014.0,7.890089157005017,,1,1,2300000,"- Thep Krasattri Road, Wichit, Muang Phuket, Phuket",98.36363964914324,Freehold,Wichit,67647.0,1939.0
110.0,29000,2,Townhouse,Unfurnished,Phuket,,8.0563125,191.2,1,3,3190000,"249/27 ถนนเทพกระษัตรี-ในยาง, Thep Krasattri, Thalang, Phuket",98.3214375,Freehold,Thep Krasattri,93824.0,853.0
127.0,29609,2,Detached House,Unfurnished,Phuket,,8.0119375,128.0,1,3,3790000,"เทพกระษัตรี, Sri Sunthon, Thalang, Phuket",98.3368125,Freehold,Sri Sunthon,111471.0,871.0
285.0,34950,3,Detached House,Unfurnished,Phuket,,7.8919375,200.0,1,4,6990000,"- -, Kathu, Kathu, Phuket",98.3464375,Freehold,Kathu,205588.0,1028.0
1640.0,23780,,Apartment,Fully Furnished,Phuket,,7.8821450332881,488.00000000000006,1,,39000000,"60 Phangnga Soi 2, Talat Yai, Muang Phuket, Phuket",98.392800986767,Freehold,Talat Yai,1147059.0,699.0
120.0,79166,2,Condo,Fully Furnished,Phuket,,7.9823317717632,,1,2,9500000,"ทางหลวงชนบท ภก.4018, Choeng Thale, Thalang, Phuket",98.285232824518,Leasehold,Choeng Thale,279412.0,2328.0
120.0,16919,2,Detached House,Unfurnished,Phuket,,8.0564375,224.0,1,3,3790000,"249/28 เทพกระษัตรี-ในยาง, Thep Krasattri, Thalang, Phuket",98.3213125,Freehold,Thep Krasattri,111471.0,498.0
833.82,52734,4,Detached House,Fully Furnished,Phuket,2002.0,7.974426859181857,1024.0,1,4,54000000,"125 Si Soonthon Road, Choeng Thale, Thalang, Phuket",98.28282249719392,Freehold,Choeng Thale,1588235.0,1551.0
36.0,87500,1,Condo,Fully Furnished,Phuket,,7.8950625,,1,1,3150000,"Talat Yai, Muang Phuket, Phuket",98.3596875,,Talat Yai,92647.0,2574.0
100.0,22900,1,Townhouse,Unfurnished,Phuket,,7.9234885,100.0,1,2,2290000,"32/46 บางชีเหล้า, Ratsada, Muang Phuket, Phuket",98.3972701,Freehold,Ratsada,67353.0,674.0
250.0,25186,4,Detached House,Partially Furnished,Phuket,,7.833601640418,536.0,1,3,13500000,"Wichit, Muang Phuket, Phuket",98.396851737279,,Wichit,397059.0,741.0
259.61,53156,4,Townhouse,Fully Furnished,Phuket,,7.8367169,,1,3,13800000,"Chalong, Muang Phuket, Phuket",98.3483897,,Chalong,405882.0,1563.0
350.0,34552,,Detached House,Fully Furnished,Phuket,,7.9656875,2460.0,1,,85000000,"Ko Kaeo, Muang Phuket, Phuket",98.3870625,,Ko Kaeo,2500000.0,1016.0
976.0,45594,4,Detached House,Fully Furnished,Phuket,,7.8831759660993,976.0,0,4,44500000,"ถนนทวีวงศ์, Patong, Kathu, Phuket",98.280520054926,,Patong,1308824.0,1341.0
520.0,34423,4,Detached House,,Phuket,,8.0156752,520.0,0,4,17900000,"Choeng Thale, Thalang, Phuket",98.3077549,,Choeng Thale,526471.0,1012.0
153.0,30065,3,Townhouse,Fully Furnished,Phuket,,7.9528125,136.0,0,2,4600000,"Kammala, Kathu, Phuket",98.2914375,Freehold,Kammala,135294.0,884.0
320.0,171875,3,Detached House,Fully Furnished,Phuket,,7.9843125,320.0,0,3,55000000,"Choeng Thale, Thalang, Phuket",98.2831875,,Choeng Thale,1617647.0,5055.0
799.9999999999999,18844,3,Detached House,Fully Furnished,Phuket,,8.1033125,1592.0,0,3,30000000,"Mai Khao, Thalang, Phuket",98.3281875,,Mai Khao,882353.0,554.0
350.0,22727,4,Detached House,Fully Furnished,Phuket,,7.9297375,1100.0,0,5,25000000,"Kammala, Kathu, Phuket",98.2747969,,Kammala,735294.0,668.0
540.0,78125,7,Detached House,Fully Furnished,Phuket,,7.7975625,448.0,0,7,35000000,"Rawai, Muang Phuket, Phuket",98.3291875,,Rawai,1029412.0,2298.0
487.0,72500,4,Detached House,Fully Furnished,Phuket,,7.8287875,400.0,0,4,29000000,"Karon, Muang Phuket, Phuket",98.3047344,,Karon,852941.0,2132.0
855.0,36250,6,Detached House,Fully Furnished,Phuket,,7.9038125,799.9999999999999,0,5,29000000,"Ratsada, Muang Phuket, Phuket",98.4037969,,Ratsada,852941.0,1066.0
604.0,38651,4,Detached House,Fully Furnished,Phuket,,7.8143125,608.0,0,4,23500000,"Wichit, Muang Phuket, Phuket",98.3985625,,Wichit,691176.0,1137.0
285.0,86538,7,Detached House,Fully Furnished,Phuket,,7.8833375,208.0,0,7,18000000,"Patong, Kathu, Phuket",98.2983594,,Patong,529412.0,2545.0
448.0,52083,5,Detached House,Fully Furnished,Phuket,,8.0536875,480.0,0,5,25000000,"Pa Khlok, Thalang, Phuket",98.4285781,,Pa Khlok,735294.0,1532.0
1200.0,81250,0,Detached House,,Phuket,,7.93648,2400.0,0,,195000000,"เกาะมะพร้าว, Ko Kaeo, Muang Phuket, Phuket",98.426651,Freehold,Ko Kaeo,5735294.0,2390.0
320.0,37500,3,Detached House,Fully Furnished,Phuket,,7.7990625,320.0,0,3,12000000,"Rawai, Muang Phuket, Phuket",98.3321875,,Rawai,352941.0,1103.0
705.0,42168,6,Detached House,Fully Furnished,Phuket,,7.8726875,664.0,0,5,28000000,"Patong, Kathu, Phuket",98.2884531,,Patong,823529.0,1240.0
106.0,13108,1,Detached House,Partially Furnished,Phuket,,7.9962625,213.6,0,2,2800000,"ถนนเทพกระษัตรี, Sri Sunthon, Thalang, Phuket",98.3471094,Freehold,Sri Sunthon,82353.0,386.0
